priority,category,source_order,title,url,published_at,capture_status,ocr_status
103,schedule,5,2050@2026 | 交通、餐饮攻略,https://mp.weixin.qq.com/s/LOpkUxcS8C6aF9Mkh7WkYA,2026/4/21 22:17,pending,pending
102,schedule,53,2050 | 为什么要来2050？给你3个理由（附通行证申领攻略）,https://mp.weixin.qq.com/s/pg1GMIJF1HX7iFeS2vDKsg,2026/4/8 23:57,pending,pending
102,schedule,71,2050@2026｜2050PASS获取攻略,https://mp.weixin.qq.com/s/ItWC_T4x_3BDm9w78iNPSQ,2026/3/30 19:09,pending,pending
102,schedule,74,2050 活动召集流程指南,https://mp.weixin.qq.com/s/t-p2w_i4TbY_qOvIqRpK7Q,2026/3/22 21:23,pending,pending
101,schedule,3,2050大会三日活动全整理，一起来过WaytoAGI三周年！,https://mp.weixin.qq.com/s/omS0tgDInn5OpZ-s7QpAow,2026/4/21 22:17,pending,pending
101,schedule,4,星空露营生活指南@2025@2026,https://mp.weixin.qq.com/s/MaV0AlyUOu8ZmmaVeU5Y8A,2026/4/21 22:17,pending,pending
101,schedule,11,2050大会召集令 | 我们为科技年青人准备了N多玩法！保姆级指南在此,https://mp.weixin.qq.com/s/j3bU4nhrdVUhxgXDbcIovg,2026/4/19 23:49,pending,pending
101,schedule,21,开运集团@2050团聚杭州 | 一张给年青人的宇宙通行证,https://mp.weixin.qq.com/s/OdQzCyTYNwkzVfrP1ufCbg,2026/4/17 21:07,pending,pending
101,schedule,59,倒计时！与全球科学家面对面，2050大会这场论坛不容错过！,https://mp.weixin.qq.com/s/l9YuAykRahFxmgVDFAauTQ,2026/4/6 23:57,pending,pending
101,schedule,63,倒计时33天！2050@2026，WaytoAGI全员集合杭州云栖小镇,https://mp.weixin.qq.com/s/K28R_GqLkSvozTDPUNkV6A,2026/4/5 23:57,pending,pending
101,schedule,76,2050 倒计时,https://mp.weixin.qq.com/s/22FkAATCGHHl_ntKEM9qXQ,2026/3/18 23:39,pending,pending
84,ai-agent,1,模型在趋同，上下文在分化：我们在2050重新定义AI时代的生态逻辑,https://mp.weixin.qq.com/s/gBLbFTBCOAegTUJyzpu1ww,2026/4/21 22:17,pending,pending
84,ai-agent,32,探索未来AI的交互形态｜来2050畅谈AI Agent的无限可能 @DX在2050团聚,https://mp.weixin.qq.com/s/EgOlN-Mj42OSuJ2IfO9DjA,2026/4/14 21:23,pending,pending
84,ai-agent,34,DeskClaw邀你参加「2050」AI论坛,https://mp.weixin.qq.com/s/zabDYjrB6vANApqoQo7Ejw,2026/4/13 23:43,pending,pending
84,ai-agent,54,灵感交易所招募！ 一起来做属于AI创作者的工具包，成为第一批“灵感交易员”！,https://mp.weixin.qq.com/s/8wZqH3hhYSt_qvAQS-5pdA,2026/4/7 23:58,pending,pending
84,ai-agent,57,一起来做属于AI创作者的工具包！——灵感交易所招募,https://mp.weixin.qq.com/s/YPk5oMrRWNljlxIcvw3o0w,2026/4/6 23:57,pending,pending
83,ai-agent,2,我们在 2050 包下了一个论坛，想邀请你共享 AI + 教育的舞台,https://mp.weixin.qq.com/s/1sZVJNCzJkrwunHHfoBh8w,2026/4/21 22:17,pending,pending
83,ai-agent,9,少数派的共创时代 | AI 时代，从想法到落地需要几步？,https://mp.weixin.qq.com/s/BB_R_nCJHX9c1tvHTlUMOA,2026/4/19 23:49,pending,pending
83,ai-agent,10,​来2050大会 | 看第一个由AI协商生成的空间,https://mp.weixin.qq.com/s/XX7wJWilIDkHLCLp779XGQ,2026/4/19 23:49,pending,pending
83,ai-agent,12,活动预告：友AI团聚2050@2026,https://mp.weixin.qq.com/s/P4aUDjMu7CUjRpMhF2JmjA,2026/4/19 23:49,pending,pending
83,ai-agent,14,AI 洞见 × 2050 召集令｜AI 时代：人才与组织进化 —— 找到你在 AI 时代的新位置,https://mp.weixin.qq.com/s/uWcTeFPFq7p8oHLsdkBTfg,2026/4/18 22:25,pending,pending
83,ai-agent,20,嘿！这里有个“未来游乐场”：从机器人脱口秀到AI电影节... 400+好玩的主题碰撞......,https://mp.weixin.qq.com/s/TguGmKJJxA6d184T3d3GcA,2026/4/17 21:07,pending,pending
83,ai-agent,24,神秘活动预告 | AI替我们“吵架”定空间？,https://mp.weixin.qq.com/s/hwD45tw15XMzQi0iUiR4RQ,2026/4/16 23:18,pending,pending
83,ai-agent,25,2050大会，来和我们一起玩转数字分身与角色系统,https://mp.weixin.qq.com/s/zo40t7_wyRAkFlN53E5APA,2026/4/16 23:18,pending,pending
83,ai-agent,31,2050@2026，来云栖小镇，一起聊聊“人机如何共同进化”,https://mp.weixin.qq.com/s/ATFw4wrSjrYyykOTx6Dj8g,2026/4/14 21:23,pending,pending
83,ai-agent,41,2050团聚 | 当硅基AI开始设计芯片，碳基人类还能做什么？4月24日杭州 AI芯片社,https://mp.weixin.qq.com/s/BTwaNiZGnPw81PudXyo0cw,2026/4/12 23:54,pending,pending
83,ai-agent,42,2050@活过 18 岁的罕见病患者：我要让 AI 完成死神完不成的 KPI,https://mp.weixin.qq.com/s/Zx8zN_G90sJJf56raDyaZA,2026/4/11 22:47,pending,pending
83,ai-agent,50,别只盯着 AI 工具了，这 100 个名额能让你看见创造的另一种可能,https://mp.weixin.qq.com/s/31hqjx90HWpUnJs7obTSbQ,2026/4/8 23:57,pending,pending
83,ai-agent,61,少年有请 | 2050科技大会：做AI导演嘉宾，也做火星策展人,https://mp.weixin.qq.com/s/ITUtSK5tA5XpjA-iovEFhQ,2026/4/5 23:57,pending,pending
83,ai-agent,67,2050@2026，来云栖小镇，一起聊聊“人机如何共同进化”,https://mp.weixin.qq.com/s/7eKbU5YjzLx6-SZ3fLABHg,2026/4/4 8:30,pending,pending
83,ai-agent,75,用 AI 破解生命难题｜罕见病基因 AI 黑客松@2050,https://mp.weixin.qq.com/s/R_EqAh9KOznH2qtXsJCUgA,2026/3/19 23:23,pending,pending
76,hackathon,30,Sophi- fusion hackathon，共赴杭州2050，探讨移动底座应用,https://mp.weixin.qq.com/s/-npqUJfSvc7m5Y7TSu7XWA,2026/4/14 21:23,pending,pending
75,hackathon,27,流浪教研x2050课创黑客松板块｜规则说明&招募,https://mp.weixin.qq.com/s/N3xEnevI0Viqs4GhfPJ1KA,2026/4/15 23:57,pending,pending
75,hackathon,52,2050大会前沿探索招募·杭州｜一起玩量子计算的“小龙虾”！,https://mp.weixin.qq.com/s/gVwXgbkwYrYW_Cg6TcQsBg,2026/4/8 23:57,pending,pending
75,hackathon,56,来2050，体验2026版无限竞速活动,https://mp.weixin.qq.com/s/SrxOpxfrl9l5qeMF6r_bnw,2026/4/7 23:58,pending,pending
71,research-tech,13,招募通知&活动预告｜科学榜YOUNG，2050大会分享医疗机器人的微观战场，邀你一起去团聚,https://mp.weixin.qq.com/s/LL_vpNaW6Hx1m8NJeErQDw,2026/4/18 22:25,pending,pending
69,research-tech,26,活动召集令：预见 2050，共赴科技与产业之约丨青蓝联谊,https://mp.weixin.qq.com/s/hEEsAntW_rZdJil0AX6rLQ,2026/4/16 23:18,pending,pending
69,research-tech,44,不如见一面！来2050大会赴一场机器人脱口秀的科技狂欢,https://mp.weixin.qq.com/s/BN1ZcHlt8MyPQ5rsruKUHA,2026/4/11 22:47,pending,pending
58,community-life,43,YOLO@2050团聚，爱旅行的朋友我们杭州见！,https://mp.weixin.qq.com/s/CMSLIweB8TP2Dzell-NcxQ,2026/4/11 22:47,pending,pending
57,community-life,6,青春舞台@2050@2026：节目单新鲜出炉！,https://mp.weixin.qq.com/s/Uc4LIsFOWVQIm1qA1wqJfQ,2026/4/21 22:17,pending,pending
57,community-life,7,热带雨林@2050@2026：别看活动表，看了你也会觉得“离谱”！,https://mp.weixin.qq.com/s/w1DwPt9yp_h1Cl1wgvJEuw,2026/4/21 22:17,pending,pending
57,community-life,17,2050团聚之夜·360乐园·影像艺术展,https://mp.weixin.qq.com/s/yTzpYBNqonEKvPzM0dwtBA,2026/4/18 22:25,pending,pending
57,community-life,22,2050学习节来了，Datawhale和全球年青人团聚杭州！,https://mp.weixin.qq.com/s/EqR7gIQLa0-kk-8SNLsqYQ,2026/4/17 21:07,pending,pending
57,community-life,29,召集令｜星空露营：享受仰望星空！跨进帐篷是家，跨出就是全世界！,https://mp.weixin.qq.com/s/Pjiu8KgEVZPLL1EvDQmjhA,2026/4/15 23:57,pending,pending
57,community-life,33,召集令｜逐日晨跑：追逐早上七八点钟的太阳，用脚步丈量热爱，与科技并肩同行，解锁最美跑线！,https://mp.weixin.qq.com/s/3pMGxTx9HiqOEtNoT1sm1Q,2026/4/14 21:23,pending,pending
57,community-life,35,所言吉事团聚预告来啦！2050@2026,https://mp.weixin.qq.com/s/bG7ZyLV0zQ0pBFK2NbQPbw,2026/4/13 23:43,pending,pending
57,community-life,36,把火车迷的热爱带到2050,https://mp.weixin.qq.com/s/wbZeTJKUsjyidm74e3c28w,2026/4/13 23:43,pending,pending
57,community-life,37,浙大人来碰头！赴一场属于浙大生态的青年团聚｜X-Lab在2050@2026学习节,https://mp.weixin.qq.com/s/vBgdJ_aad0Q-EiN0cvpCXg,2026/4/13 23:43,pending,pending
57,community-life,39,认真见面、深度聊天｜四月末一起来杭州2050玩剧本杀、录播客呀！,https://mp.weixin.qq.com/s/MqDgwhz-Ky0XjfDmK4HXaw,2026/4/12 23:54,pending,pending
57,community-life,46,2026浙大人咖啡时间｜4.24～26，赴2050之约,https://mp.weixin.qq.com/s/lKDnipto0dPEBpDBOvpmqQ,2026/4/10 22:59,pending,pending
57,community-life,47,OPC青年团聚 @2050 | 一个人就是一支队伍，来找到你的同路同行同频伙伴！,https://mp.weixin.qq.com/s/7qoy0cfmnwfhdg2R7mBBmg,2026/4/10 22:59,pending,pending
57,community-life,49,召集令｜百城味道：带上你的家乡美食，来 2050 请客！,https://mp.weixin.qq.com/s/IXuyWUxnj0Y7Rfgk7f2LNw,2026/4/10 0:00,pending,pending
57,community-life,60,召集令｜热带雨林：年青人都是新物种，用你的脑洞刷新2050“活力值”！,https://mp.weixin.qq.com/s/oyTrEeTvUXUAj-8pe3pvHg,2026/4/6 23:57,pending,pending
57,community-life,68,召集令 | 青春舞台：科技就像音乐，足以列入「人生炫耀清单」的 360° 舞台已为你点亮！,https://mp.weixin.qq.com/s/y1W2vAe_4Mr6EcEAXZKMlQ,2026/4/4 8:30,pending,pending
57,community-life,69,2050@2026 年青人因科技而团聚！,https://mp.weixin.qq.com/s/jlayYqA2WZpfLkmuMS55iQ,2026/4/3 22:37,pending,pending
30,general,8,新生论坛@2050@2026：500+脑暴席卷云栖，年青就要最大声分享！,https://mp.weixin.qq.com/s/0pk6F8FvoqjysXBApdrrdA,2026/4/20 8:52,pending,pending
30,general,15,参会｜2050大会见！可计算开店科技邀您共探流量价值计算,https://mp.weixin.qq.com/s/MwYUO8W2AAsYPkauEPT1tg,2026/4/18 22:25,pending,pending
30,general,16,2050 × 未来乡村｜青山村的邻居们，在2050等你来！,https://mp.weixin.qq.com/s/nOB3tDmALxBdnChbisOuHQ,2026/4/18 22:25,pending,pending
30,general,18,4月24日，让我们共赴2050的原子江湖,https://mp.weixin.qq.com/s/Fa9hatdNaKgCDmLvgm9gUA,2026/4/17 21:07,pending,pending
30,general,19,不加班，来狂欢！余杭青年科技人，玩转2050大会，免费名额等你来抢！,https://mp.weixin.qq.com/s/-_zRjo1QDG5CFHdXtl5_Bw,2026/4/17 21:07,pending,pending
30,general,23,2050召集令 | 你想成为一名“国王”吗？“未来城邦”帮你实现！,https://mp.weixin.qq.com/s/MxIKHS8Z9WgIzvkA5biXMQ,2026/4/16 23:18,pending,pending
30,general,28,四月底，2050杭州见？| 706青年空间×Way2AGI,https://mp.weixin.qq.com/s/U2ucZWvkqxAfO0UvcEdZsQ,2026/4/15 23:57,pending,pending
30,general,38,所以，究竟什么是2050大会？,https://mp.weixin.qq.com/s/c6eWVnZmigFo3BLjyeff_w,2026/4/12 23:54,pending,pending
30,general,40,汇聚热爱，「2050 大会」少数派线下活动邀请你来参与,https://mp.weixin.qq.com/s/y6gkJrohKb9O57SSjOizpw,2026/4/12 23:54,pending,pending
30,general,45,2050大会预告|杭州场景妙妙屋，解锁城市场景新脑洞,https://mp.weixin.qq.com/s/lCjF31MYRVyPAYq0A2IoDQ,2026/4/10 22:59,pending,pending
30,general,48,来2050，体验2026年最有科技感的“江湖”,https://mp.weixin.qq.com/s/s5DJA8Tb5C_3LrW1web7iQ,2026/4/10 22:59,pending,pending
30,general,51,SZOIL@2050 | 「赋能青年 共话未来」沙龙招募启动！,https://mp.weixin.qq.com/s/aQjR6ZFKLQLiVNBSPug7Sw,2026/4/8 23:57,pending,pending
30,general,55,"活动招募 | ""在家学习思享会""邀您共聚2050@2026",https://mp.weixin.qq.com/s/s8AjqExyaVsqAhJfSjpX8A,2026/4/7 23:58,pending,pending
30,general,58,重要的人，就是应该多见面｜2026 2050 招募,https://mp.weixin.qq.com/s/Aubcuois9FDPLj1D1b6NfA,2026/4/6 23:57,pending,pending
30,general,62,2050大会三个愿望——来，看看你能在哪儿搭把手,https://mp.weixin.qq.com/s/pET9i5GoV8wX2VtVB5m7Aw,2026/4/5 23:57,pending,pending
30,general,64,Let's Go，黑客们！咱们今年回2050玩玩！,https://mp.weixin.qq.com/s/ivS251ZP0ZBV8dw1UxrmXQ,2026/4/5 23:57,pending,pending
30,general,65,“不如见一面”2050召集令 | 壹木自然读书会,https://mp.weixin.qq.com/s/N-jmhc25it63pJvQiSN-Ig,2026/4/4 8:30,pending,pending
30,general,66,4.24-26 | 如果未来已经开始了，你会如何设计自己？,https://mp.weixin.qq.com/s/TnI99xRy2JX41DQ_DpylaQ,2026/4/4 8:30,pending,pending
30,general,70,召集令｜这份最硬核的礼物请查收：来云栖厅360°环形屏，做聚光灯下的年青人！,https://mp.weixin.qq.com/s/04Yfdu9AYSIqd3bmwwlrWw,2026/4/3 1:18,pending,pending
30,general,72,"从六人到千人相聚：2050学习节让年青人的""不可能""变成""可能""。",https://mp.weixin.qq.com/s/W95ZCIzOuvInycCVim18bg,2026/3/25 21:10,pending,pending
30,general,73,四月前的最后一次“预演”！3月27日 2050恳谈会，召集人们请就位,https://mp.weixin.qq.com/s/5oiV4W4wMYsIyk-ung5XOA,2026/3/24 14:28,pending,pending
30,general,77,2050大会｜三个愿望等你一起实现,https://mp.weixin.qq.com/s/PVZeb9XuSxai_yiMjp9Pzw,2026/3/6 23:48,pending,pending
